ConfigID,ThetaCap,SynergyWeight,Z1,Z2,Z3
1,0.4,1.0,712.1488901170081,2.570400000000001,691.1499999999999
2,0.4,2.5,600.2166841321188,2.249100000000001,583.8299999999999
3,0.4,5.0,526.3074856799717,1.9278000000000008,521.03
4,0.5,1.0,703.428402790927,2.570400000000001,678.91
5,0.5,2.5,611.7132673832792,2.249100000000001,599.49
6,0.5,5.0,696.9287656632666,2.570400000000001,665.43
7,0.6,1.0,601.1418549709646,2.249100000000001,579.37
8,0.6,2.5,708.8557353543982,2.570400000000001,686.93
9,0.6,5.0,611.598802032625,2.249100000000001,596.6700000000001
